"gddid","title","pubname","authors","hits","URL","publisher","doi","coverDate","highlight","publicationid"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","1","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","Pollen values remain stable for A(,er sac-  chtrrum. Vlmus. Carya. and Plrrttrnus.","47"
"54b43269e138239d8684f96b","Quaternary vegetation history of the Mississippi embayment","Quaternary Research","Delcourt, Paul A.; Delcourt, Hazel R.; Brister, Ronald C.; Lackey, Laurence E.","1","http://www.sciencedirect.com/science/article/pii/0033589480900861","Elsevier","10.1016/0033-5894(80)90086-1","January 1980","Pollen values remain stable for A(,er sac-  chtrrum. Vlmus. Carya. and Plrrttrnus.","48"
"57923f83cf58f1195d540371","Phylogenetic relationships and new tribal delimitations in subfamily Ixoroideae (Rubiaceae)","Botanical Journal of the Linnean Society","Kainulainen, Kent; Razafimandimbison, Sylvain G.; Bremer, Birgitta","1","http://doi.wiley.com/10.1111/boj.12038","Wiley","10.1111/boj.12038","November 2013","style covered with hairs that probably catch released pollen is usually found level with the pollen sacs","6057"
"54f4a8ffe13823054496a03a","Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California","Quaternary Research","Scott Anderson, R.; Ejarque, Ana; Rice, Johnathan; Smith, Susan J.; Lebow, Clayton G.","5","http://www.sciencedirect.com/science/article/pii/S0033589414001343","Elsevier","10.1016/j.yqres.2014.11.005","March 2015","Because of potential unconformities in the SAC record the age model (E.","8354"
"54f4a8ffe13823054496a03a","Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California","Quaternary Research","Scott Anderson, R.; Ejarque, Ana; Rice, Johnathan; Smith, Susan J.; Lebow, Clayton G.","5","http://www.sciencedirect.com/science/article/pii/S0033589414001343","Elsevier","10.1016/j.yqres.2014.11.005","March 2015","Zone SAC-1 (Core Bottom to ~ 760 cm depth [~ 10,250 to 9575 cal yr BP]).","8354"
"54f4a8ffe13823054496a03a","Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California","Quaternary Research","Scott Anderson, R.; Ejarque, Ana; Rice, Johnathan; Smith, Susan J.; Lebow, Clayton G.","5","http://www.sciencedirect.com/science/article/pii/S0033589414001343","Elsevier","10.1016/j.yqres.2014.11.005","March 2015","Zone SAC-2 (760 cm to ~250 cm depth [9575 to, 610 cal yr BP]).","8354"
"54f4a8ffe13823054496a03a","Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California","Quaternary Research","Scott Anderson, R.; Ejarque, Ana; Rice, Johnathan; Smith, Susan J.; Lebow, Clayton G.","5","http://www.sciencedirect.com/science/article/pii/S0033589414001343","Elsevier","10.1016/j.yqres.2014.11.005","March 2015","Zone SAC-3 (250 cm to ~ 19 cm [5610 cal yr BP to AD 1787]).","8354"
"54f4a8ffe13823054496a03a","Historic and Holocene environmental change in the San Antonio Creek Basin, mid-coastal California","Quaternary Research","Scott Anderson, R.; Ejarque, Ana; Rice, Johnathan; Smith, Susan J.; Lebow, Clayton G.","5","http://www.sciencedirect.com/science/article/pii/S0033589414001343","Elsevier","10.1016/j.yqres.2014.11.005","March 2015","Zone SAC-4 (19 cm to core top [AD 1787 to present]).","8354"
"57afa7a1cf58f17e4605b24c","Long-Term Trends in Lake Water pH and Metal Concentrations Inferred from Diatoms and Chrysophytes in Three Lakes near Sudbury, Ontario","Canadian Journal of Fisheries and Aquatic Sciences","Dixit, Aruna S.; Dixit, Sushil S.; Smol, John P.","1","http://www.nrcresearchpress.com/doi/abs/10.1139/f92-296","Canadian Science Publishing","10.1139/f92-296","December 1992","Mortality of walleye eggs and rainbow trout yolk-sac Bmae in low-pH waters s f the Ea Cloche Mountain","9844"
"56aabf6acf58f1944253307b","RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 5","Archaeometry","GOWLETT, J. A. J.; HEDGES, R. E. M.; LAW, I. A.; PERRY, C.","2","http://doi.wiley.com/10.1111/j.1475-4754.1987.tb00404.x","Wiley","10.1111/j.1475-4754.1987.tb00404.x","February 1987","Sac. 32. 1-29. Higgs, E. S., Vita Finzi, C., Harris, D. R. and Fagg, A.","20253"
"56aabf6acf58f1944253307b","RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 5","Archaeometry","GOWLETT, J. A. J.; HEDGES, R. E. M.; LAW, I. A.; PERRY, C.","2","http://doi.wiley.com/10.1111/j.1475-4754.1987.tb00404.x","Wiley","10.1111/j.1475-4754.1987.tb00404.x","February 1987","Sac. 28, 329-36 1.","20253"
"585b3e89cf58f1a722da7f26","A model-data comparison of Holocene timberline changes in the Swiss Alps reveals past and future drivers of mountain forest dynamics","Global Change Biology","Schwörer, Christoph; Henne, Paul D.; Tinner, Willy","1","http://doi.wiley.com/10.1111/gcb.12456","Wiley","10.1111/gcb.12456","2014 05","SAC-Verlag, Bern, 341, 136 S. Lang G (1994) Quart€are Vegetationsgeschichte Europas.","15670"
"5c302c591faed655488b7378","Organic matter sources and lateral sedimentation in a Bahamian karst basin (sinkhole) over the late Holocene: Influence of local vegetation and climate","Palaeogeography, Palaeoclimatology, Palaeoecology","van Hengstum, Peter J.; Louchouarn, Patrick; Molodtsov, Sergey; Kaiser, Karl; Donnelly, Jeffrey P.; Albury, Nancy A.; Fall, Patricia L.","1","https://www.sciencedirect.com/science/article/pii/S0031018218300683","Elsevier","10.1016/j.palaeo.2018.06.014","1 October 2018","raft geochemistry as a hydrological proxy for Holocene aquifer conditions in Hoyo Negro and Ich Balam (Sac","16319"
"58d27b79cf58f121bb4ff3c1","The ultrastructure of fossil dispersed monosulcate pollen from the Early Cretaceous of Transbaikalia, Russia","Grana","Zavialova, Natalia; Markevich, Valentina; Bugdaeva, Eugenia; Polevova, Svetlana","1","http://www.tandfonline.com/doi/abs/10.1080/00173134.2011.611530","Taylor and Francis","10.1080/00173134.2011.611530","2011 09","micrograph of an apparently damaged ellipsoidal pollen grain from the interior of a dehisced pollen sac","16343"
"5ab95fc7cf58f17c8b157a33","Climate forcings on vegetation of the southeastern Yucatán Peninsula (Mexico) during the middle to late Holocene","Palaeogeography, Palaeoclimatology, Palaeoecology","Aragón-Moreno, Alejandro A.; Islebe, Gerald A.; Roy, Priyadarsi D.; Torrescano-Valle, Nuria; Mueller, Andreas D.","1","https://www.sciencedirect.com/science/article/pii/S0031018217309690","Elsevier","10.1016/j.palaeo.2018.01.014","15 April 2018","raft geochemistry as a hydrological proxy for Holocene aquifer conditions in Hoyo Negro and Ich Balam (Sac","16670"
"5783db6ecf58f1b31f47816d","Vegetation Record for the Last 20,000 Years from a Small Marsh on Lookout Mountain, Northwestern Georgia","Geol Soc America Bull","WATTS, W. A.","1","http://dx.doi.org/10.1130/0016-7606(1975)86<287:vrftly>2.0.co;2","GSA","10.1130/0016-7606(1975)86<287:vrftly>2.0.co;2","1975","Stands in which Fagus is a b u n d a n t usually  contain such other species as Acer sac-  charum (sugar","21"
"5a25b799cf58f11af562680c","Refining Plains Woodland Chronology","Plains Anthropologist","Adair, Mary J.","3","http://www.tandfonline.com/doi/full/10.1179/pan.2012.017","Taylor and Francis","10.1179/pan.2012.017","2014 03","(editor) 2009 Excavation at the Sibley Bluff Top (23JA266): A Multiple Component Site at the Fort Osage","20309"
"5a25b799cf58f11af562680c","Refining Plains Woodland Chronology","Plains Anthropologist","Adair, Mary J.","3","http://www.tandfonline.com/doi/full/10.1179/pan.2012.017","Taylor and Francis","10.1179/pan.2012.017","2014 03","National Historic Landmark, Jackson County, Missouri.","20309"
"5a25b799cf58f11af562680c","Refining Plains Woodland Chronology","Plains Anthropologist","Adair, Mary J.","3","http://www.tandfonline.com/doi/full/10.1179/pan.2012.017","Taylor and Francis","10.1179/pan.2012.017","2014 03","In Excavation at the Sibley Bluff Top (23JA266): A Multiple Component Site at the Fort Osage National","20309"
"58ce41a0cf58f14430b36c3d","Increased Cannabis/Humulus pollen, an indicator of European agriculture in Iowa","Palynology","van Zant, Kent L.; Webb, Thompson; Peterson, Gilbert M.; Baker, Richard G.","3","http://www.tandfonline.com/doi/abs/10.1080/01916122.1979.9989192","Taylor and Francis","10.1080/01916122.1979.9989192","1979 12","cm and 120 cm long) from Blackhawk Lake, a 5 m deep,  PALYNOLOGY, VOLUME 3 — 1979 80 hectare lake in Sac","740"
"58ce41a0cf58f14430b36c3d","Increased Cannabis/Humulus pollen, an indicator of European agriculture in Iowa","Palynology","van Zant, Kent L.; Webb, Thompson; Peterson, Gilbert M.; Baker, Richard G.","3","http://www.tandfonline.com/doi/abs/10.1080/01916122.1979.9989192","Taylor and Francis","10.1080/01916122.1979.9989192","1979 12","Van Zant 1976   230 Blackhawk Lake, Sac County, Iowa Pollen Percentage Diagram  PALYNOLOGY, VOLUME 3","740"
"58ce41a0cf58f14430b36c3d","Increased Cannabis/Humulus pollen, an indicator of European agriculture in Iowa","Palynology","van Zant, Kent L.; Webb, Thompson; Peterson, Gilbert M.; Baker, Richard G.","3","http://www.tandfonline.com/doi/abs/10.1080/01916122.1979.9989192","Taylor and Francis","10.1080/01916122.1979.9989192","1979 12","Settlers moved into western Iowa before 1860; Sac County had 251 residents in 1856 (Hull, 1883).","740"
